city_code_external,city_name_local_language,city_name_English,province_code,province_name_local_language,province_name_English,ISO_country_code,country_name_local_language,country_name_English
650100000000,乌鲁木齐市,,650000000000,新疆维吾尔自治区,,CN,中国,China
650200000000,克拉玛依市,,650000000000,新疆维吾尔自治区,,CN,中国,China
650400000000,吐鲁番市,,650000000000,新疆维吾尔自治区,,CN,中国,China
650500000000,哈密市,,650000000000,新疆维吾尔自治区,,CN,中国,China
652300000000,昌吉回族自治州,,650000000000,新疆维吾尔自治区,,CN,中国,China
652700000000,博尔塔拉蒙古自治州,,650000000000,新疆维吾尔自治区,,CN,中国,China
652800000000,巴音郭楞蒙古自治州,,650000000000,新疆维吾尔自治区,,CN,中国,China
652900000000,阿克苏地区,,650000000000,新疆维吾尔自治区,,CN,中国,China
653000000000,克孜勒苏柯尔克孜自治州,,650000000000,新疆维吾尔自治区,,CN,中国,China
653100000000,喀什地区,,650000000000,新疆维吾尔自治区,,CN,中国,China
653200000000,和田地区,,650000000000,新疆维吾尔自治区,,CN,中国,China
654000000000,伊犁哈萨克自治州,,650000000000,新疆维吾尔自治区,,CN,中国,China
654200000000,塔城地区,,650000000000,新疆维吾尔自治区,,CN,中国,China
654300000000,阿勒泰地区,,650000000000,新疆维吾尔自治区,,CN,中国,China
659001000000,石河子市,,650000000000,新疆维吾尔自治区,,CN,中国,China
659002000000,阿拉尔市,,650000000000,新疆维吾尔自治区,,CN,中国,China
659003000000,图木舒克市,,650000000000,新疆维吾尔自治区,,CN,中国,China
659004000000,五家渠市,,650000000000,新疆维吾尔自治区,,CN,中国,China
659005000000,北屯市,,650000000000,新疆维吾尔自治区,,CN,中国,China
659006000000,铁门关市,,650000000000,新疆维吾尔自治区,,CN,中国,China
659007000000,双河市,,650000000000,新疆维吾尔自治区,,CN,中国,China
659008000000,可克达拉市,,650000000000,新疆维吾尔自治区,,CN,中国,China
659009000000,昆玉市,,650000000000,新疆维吾尔自治区,,CN,中国,China
659010000000,胡杨河市,,650000000000,新疆维吾尔自治区,,CN,中国,China
659011000000,新星市,,650000000000,新疆维吾尔自治区,,CN,中国,China
659012000000,白杨市,,650000000000,新疆维吾尔自治区,,CN,中国,China
RMQ, 台中, TAIZHONG,,,,TW,中国台湾,
KNH, 金门, JINMEN,,,,TW,中国台湾,
MZG, 马公, PENGHU,,,,TW,中国台湾,
HUN, 花莲, HUALIAN,,,,TW,中国台湾,
GNI, 格林艾兰, GREENISLAND,,,,TW,中国台湾,
CMJ, 七美, QIMEI,,,,TW,中国台湾,
TTT, 台东, TAIDONG,,,,TW,中国台湾,
TPE, 台北, TAIBEI,,,,TW,中国台湾,
SIN,新加坡,,,,,,新加坡,
KUL,吉隆坡,,,,,,马来西亚,
BKK,曼谷,,,,,,泰国,
HND,东京,,,,,,日本,
FRA, 法兰克福, FRANKFURT,,,,DE,德国,
HAM, 汉堡, HAMBURG,,,,DE,德国,
STR, 斯图加特, STUTTGART,,,,DE,德国,
TXL, 柏林, BERLIN,,,,DE,德国,
MUC, 慕尼黑, MUNICH,,,,DE,德国,
DUS, 杜塞尔多夫, DUSSELDORF,,,,DE,德国,
NUE, 纽伦堡, NUREMBERG,,,,DE,德国,
CGN, 科隆, COLOGNE,,,,DE,德国,
HAJ, 汉诺威, HANNOVER,,,,DE,德国,
DRS, 德累斯顿, DRESDEN,,,,DE,德国,
MSR, 明斯特, MUS/TURKISHAFB,,,,DE,德国,
DTM, 多特蒙德, DORTMUNDWICKEDE(DortmundAirport),,,,DE,德国,
BWE, 不伦瑞克, BRAUNSCHWEIG,,,,DE,德国,
FMO, 蒙斯特, MUENSTER,,,,DE,德国,
BRE, 不来梅, BREMEN,,,,DE,德国,
ESS, 埃森, ESSEN,,,,DE,德国,
HKG,香港,,,,,CN,中国香港,
SCN, 萨尔布鲁根, SAARBRUCKEN,,,,DE,德国,
KEL, 基尔, KIEL,,,,DE,德国,
BRV, 不来梅港, BREMERHAVEN,,,,DE,德国,
JUI, 儒伊斯特, JUIST,,,,DE,德国,
HDB, 海德堡," HEIDELBERG(HEIDELBERG,GERMANY)",,,,DE,德国,
KSF, 卡塞尔, KASSEL,,,,DE,德国,
MHG, 曼海姆, MANNHEIM,,,,DE,德国,
ERF, 艾福特, ERFURT,,,,DE,德国,
BYU, 拜伊罗特," BAYREUTH(BAYREUTH,GERMANYBINDLACHERBERG)",,,,DE,德国,
GWT, 叙尔特岛, SYLT,,,,DE,德国,
BMK, 博尔库姆, BORKUM,,,,DE,德国,
NRD, 诺德奈, NORDERNEY,,,,DE,德国,
BBH, 巴尔特, BARTH,,,,DE,德国,
NOE, 诺德代希, NORDDEICH,,,,DE,德国,
EME, 埃姆登, EMDEN,,,,DE,德国,
HDF, 赫林斯多夫, HERINGSDORF,,,,DE,德国,
LEJ, 莱比锡, LEIPZIG,,,,DE,德国,
HHN, 法兰克福, FRANKFURT,,,,DE,德国,
BER, 柏林, BERLIN,,,,DE,德国,
SXF, 柏林, BERLIN,,,,DE,德国,
THF, 柏林, BERLIN,,,,DE,德国,
XFW, 汉堡, HAMBURG,,,,DE,德国,
AMS,阿姆斯特丹,,,,,,荷兰,
BLL,比隆德,,,,,,丹麦,
NRT,东京,,,,,,日本,
MEL,墨尔本,,,,,,澳大利亚,
IST,伊斯坦布尔,,,,,,土耳其,
QYG,德国火车站,,,,,,德国,
HAN,河内,,,,,,越南,
BLR,班加罗尔,,,,,,印度,
DEL,新德里,,,,,,印度,
ICN,仁川,,,,,,韩国,
CGK,雅加达,,,,,,印度尼西亚,
ELP,艾尔帕索,,,,,,美国,
CDG,巴黎,,,,,,法国,
RTW,萨拉托夫,,,,,,俄罗斯,
FCO,罗马,,,,,,意大利,
MSP,明尼阿波利斯,,,,,,美国,
ORD,芝加哥,,,,,,美国,
PNQ,浦那,,,,,,印度,
GRU,圣保罗,,,,,,巴西,
BOM,孟买,,,,,,印度,
MNL,马尼拉,,,,,,菲律宾,
